,Accident_Index_x,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Accident_Index_y,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,city
1641199,201501BS70740,527940.0,178900.0,-0.158416,51.494575,1,3,1,2,2015-12-13,1,12:27,12,E09000020,3,3216,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01002859,201197QB04205,1,1,1,1,50,8,3,0,0,0,0,0,90,-1,London
1641200,201501BS70741,523220.0,181840.0,-0.225346,51.522045,1,3,2,1,2015-12-13,1,20:50,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002907,201197QB04211,1,1,2,1,18,4,3,0,0,1,0,0,9,-1,London
1641202,201501BS70745,524170.0,181640.0,-0.21173,51.520039,1,3,4,1,2015-12-12,7,01:55,12,E09000020,4,450,6,30,6,4,5,0,0,1,4,1,1,0,0,1,1,E01002909,201197QB04409,1,1,3,2,17,4,3,6,9,0,0,0,0,1,London
1641214,201501BS70760,526460.0,179230.0,-0.179606,51.497873,1,3,2,1,2015-12-13,1,15:20,12,E09000020,5,0,6,30,3,4,5,0,0,1,1,1,1,0,0,1,2,E01002892,201197QB04904,1,2,2,1,26,6,3,0,0,2,0,0,90,-1,London
1643011,201501CW11878,526750.0,182550.0,-0.174238,51.527645,1,3,2,2,2015-12-13,1,03:18,1,E09000033,3,5205,6,30,6,2,4,507,0,5,4,1,1,0,0,1,1,E01004728,201201BS70163,1,1,1,1,20,4,3,0,0,0,0,0,3,1,City of Westminster
1643012,201501CW11879,525970.0,182960.0,-0.185329,51.531504,1,3,2,1,2015-12-12,7,14:22,1,E09000033,3,5,6,30,8,4,6,0,0,0,1,4,1,0,0,1,1,E01004711,201201BS70164,1,1,1,1,28,6,3,0,0,0,0,0,9,1,City of Westminster
1643013,201501CW11880,529350.0,181640.0,-0.137113,51.518878,1,3,2,1,2015-12-12,7,22:05,1,E09000033,4,506,6,30,6,2,4,506,0,5,4,1,1,0,0,1,1,E01004763,201201BS70165,2,1,1,1,43,7,3,0,0,0,0,0,3,1,City of Westminster
1643014,201501CW11883,529840.0,180940.0,-0.130312,51.512475,1,3,1,1,2015-12-13,1,01:55,1,E09000033,3,401,6,30,3,4,6,0,0,0,4,5,2,0,0,1,1,E01004734,201201BS70166,2,1,1,1,29,6,3,0,0,0,0,0,2,1,City of Westminster
1643024,201501CW11893,527860.0,180900.0,-0.158844,51.512567,1,3,2,1,2015-12-12,7,01:35,1,E09000033,3,4202,6,30,3,2,3,40,0,5,4,1,1,0,0,1,1,E01004689,201201BS70179,2,1,2,1,39,7,3,0,0,1,0,0,9,1,City of Westminster
1643025,201501CW11894,527090.0,183370.0,-0.169044,51.534938,1,3,1,1,2015-12-12,7,18:00,1,E09000033,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01004724,201201BS70180,1,1,1,1,48,8,3,0,0,0,0,0,9,1,City of Westminster
1643059,201501CW11935,526340.0,181780.0,-0.180421,51.520817,1,3,2,1,2015-12-13,1,03:00,1,E09000033,5,0,6,30,3,4,3,404,0,0,4,2,2,0,0,1,2,E01004702,201201BS70213,1,1,3,1,29,6,3,5,1,0,0,2,0,1,City of Westminster
1643099,201501CW12026,528150.0,179400.0,-0.155212,51.499021,1,3,2,1,2015-12-13,1,21:35,1,E09000033,4,310,6,30,3,4,4,310,0,0,4,1,1,0,0,1,2,E01004691,201201BS70256,1,1,3,2,18,4,3,5,1,0,0,2,0,1,City of Westminster
1643963,201501EK41107,529370.0,183130.0,-0.136278,51.532264,1,3,2,1,2015-12-12,7,18:45,2,E09000007,3,4200,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000954,201201CP00405,2,1,1,1,44,7,3,0,0,0,0,0,3,1,London
1643966,201501EK41110,528640.0,184200.0,-0.146406,51.542046,1,3,1,1,2015-12-12,7,11:30,2,E09000007,3,502,6,30,3,4,3,502,0,1,1,2,2,0,0,1,1,E01000858,201201CW10005,1,1,1,1,56,9,3,0,0,0,0,0,11,1,London
1643968,201501EK41112,529080.0,184050.0,-0.140119,51.540598,1,3,3,5,2015-12-12,7,22:30,2,E09000007,3,400,2,30,6,2,3,503,0,5,4,1,1,0,0,1,1,E01000856,201201CW10007,2,1,1,1,38,7,3,0,0,0,0,0,3,1,London
1643971,201501EK41116,525410.0,184320.0,-0.192914,51.543851,1,3,1,1,2015-12-12,7,23:48,2,E09000007,6,0,6,30,3,4,4,510,0,0,4,1,1,0,0,1,1,E01000932,201201CW10009,2,2,2,1,-1,-1,3,0,0,0,4,0,11,-1,London
1643972,201501EK41117,528320.0,184620.0,-0.150864,51.545893,1,3,2,1,2015-12-13,1,23:33,2,E09000007,4,517,6,20,7,2,5,0,0,5,4,1,1,0,0,1,1,E01000905,201201CW10010,1,1,3,2,35,6,3,6,9,0,0,2,0,1,London
1643975,201501EK41120,529450.0,183700.0,-0.134916,51.537368,1,3,2,1,2015-12-12,7,22:50,2,E09000007,3,5202,2,30,3,4,6,0,0,1,4,1,1,0,0,1,2,E01000959,201201CW10013,2,1,1,1,25,5,2,0,0,0,0,0,5,1,London
1643996,201501EK41149,528970.0,184860.0,-0.141408,51.547902,1,2,2,1,2015-12-12,7,23:15,2,E09000007,3,400,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000922,201201CW10037,1,1,1,1,35,6,3,0,0,0,0,0,1,1,London
1643997,201501EK41150,527140.0,183700.0,-0.168204,51.537892,1,3,2,1,2015-12-13,1,15:45,2,E09000007,4,525,6,30,3,4,5,0,0,1,1,1,1,0,0,1,2,E01004647,201201CW10038,1,1,1,1,42,7,3,0,0,0,0,0,5,1,City of Westminster
