,Accident_Index_x,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Accident_Index_y,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,city
1644792,201501EO40939,532070.0,184180.0,-0.096982,51.541075,1,3,2,1,2015-12-12,7,16:00,3,E09000019,3,1200,6,20,8,4,6,0,0,0,4,2,2,0,0,1,1,E01002793,201201CW10898,2,1,1,1,62,9,2,0,0,0,0,0,1,1,London
1644793,201501EO40940,532470.0,185100.0,-0.090871,51.549249,1,3,2,1,2015-12-13,1,14:00,3,E09000019,5,0,6,20,0,-1,-1,0,0,8,1,9,2,0,0,1,1,E01002775,201201CW10900,1,1,1,2,27,6,3,0,0,0,0,0,9,1,London
1644796,201501EO40944,532130.0,182270.0,-0.096833,51.523897,1,3,1,1,2015-12-12,7,02:10,3,E09000019,3,5201,6,20,3,4,6,0,0,0,4,1,1,0,0,1,1,E01033490,201201CW10903,1,1,3,1,13,3,2,5,1,0,0,2,0,-1,London
1645417,201501FH10645,522650.0,178820.0,-0.234607,51.495027,1,3,2,1,2015-12-13,1,19:55,11,E09000013,4,408,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01001932,201201CW11600,1,1,1,1,56,9,3,0,0,0,0,0,9,3,London
1645424,201501FH10653,522570.0,179410.0,-0.235554,51.500347,1,3,2,1,2015-12-12,7,18:54,11,E09000013,3,402,6,30,3,4,6,0,0,0,4,5,2,0,0,1,1,E01001928,201201CW11611,1,1,2,2,48,8,3,0,0,0,2,0,11,1,London
1645425,201501FH10654,523620.0,177890.0,-0.220966,51.486458,1,3,2,1,2015-12-12,7,17:20,11,E09000013,3,219,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01001891,201201CW11612,1,1,3,2,52,8,3,1,1,0,0,2,0,-1,London
1646221,201501GD10980,535870.0,185660.0,-0.04165,51.553473,1,3,2,1,2015-12-13,1,18:35,4,E09000012,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01001733,201201EK40596,2,1,1,1,33,6,3,0,0,0,0,0,3,1,London
1646222,201501GD10981,533470.0,183580.0,-0.077033,51.535354,1,3,2,1,2015-12-12,7,04:45,4,E09000012,3,10,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01001754,201201EK40598,1,1,1,2,34,6,2,0,0,0,0,0,1,1,London
1646223,201501GD10982,532750.0,182600.0,-0.087777,51.526717,1,3,2,1,2015-12-12,7,23:23,4,E09000012,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01001780,201201EK40599,1,1,1,1,33,6,3,0,0,0,0,0,8,1,London
1646224,201501GD10983,533590.0,186180.0,-0.074318,51.55869,1,3,2,1,2015-12-12,7,10:21,4,E09000012,3,10,2,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01001830,201201EK40599,2,2,1,1,43,7,3,0,0,0,0,0,8,1,London
1646229,201501GD10989,534950.0,184370.0,-0.055405,51.542102,1,3,2,1,2015-12-13,1,19:25,4,E09000012,3,107,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01033704,201201EK40606,1,1,2,2,58,9,3,0,0,2,0,0,8,1,London
1647237,201501HT21113,535140.0,181970.0,-0.053587,51.520489,1,3,2,2,2015-12-13,1,22:10,5,E09000030,3,11,7,20,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01004208,201201FH10111,2,2,2,2,33,6,3,0,0,1,0,0,9,1,London
1647250,201501HT21127,535980.0,181150.0,-0.041804,51.512919,1,3,2,2,2015-12-12,7,17:25,5,E09000030,3,13,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01032769,201201FH10123,2,1,1,1,67,10,3,0,0,0,0,0,5,1,London
1647270,201501HT21149,534990.0,181900.0,-0.055775,51.519896,1,3,2,1,2015-12-13,1,06:20,5,E09000030,3,11,6,20,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01004322,201201FH10149,2,1,1,1,34,6,3,0,0,0,0,0,9,1,London
1648007,201501JC30796,537470.0,189770.0,-0.01698,51.590018,1,3,1,1,2015-12-12,7,09:45,13,E09000031,3,503,6,30,3,4,3,112,0,0,1,1,1,0,0,1,1,E01004408,201201GD10232,1,1,1,1,30,6,3,0,0,0,0,0,1,1,London
1648009,201501JC30798,538050.0,189750.0,-0.008621,51.589697,1,3,2,2,2015-12-12,7,12:00,13,E09000031,5,0,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01004407,201201GD10234,1,1,2,2,74,10,3,0,0,0,3,0,11,-1,London
1648015,201501JC30808,536930.0,187550.0,-0.025635,51.570201,1,3,2,1,2015-12-12,7,20:00,13,E09000031,3,104,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01004425,201201GD10240,2,1,1,2,42,7,3,0,0,0,0,0,1,1,London
1648716,201501JI40845,541530.0,188310.0,0.041,51.575895,1,3,1,1,2015-12-13,1,08:42,14,E09000026,3,12,3,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01003697,201201HT20094,2,1,1,2,30,6,3,0,0,0,0,0,1,1,London
1649337,201501KD50687,554280.0,180290.0,0.221338,51.500496,1,3,1,1,2015-12-13,1,22:25,15,E09000016,3,13,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01002344,201201HT20666,1,1,1,1,27,6,3,0,0,0,0,0,1,1,London
1650164,201501KF60931,539880.0,184770.0,0.015798,51.544497,1,3,2,1,2015-12-13,1,21:10,17,E09000025,3,118,6,30,3,4,6,0,0,1,4,2,2,0,0,1,1,E01003551,201201JC30427,2,1,1,1,24,5,3,0,0,0,0,0,3,1,London
1650181,201501KF60950,542580.0,183570.0,0.054222,51.533039,1,3,2,3,2015-12-13,1,15:10,17,E09000025,3,124,6,30,6,2,3,117,0,5,1,1,1,0,0,1,1,E01003525,201201JC30443,2,3,2,2,50,8,2,0,0,1,0,0,9,-1,London
1650191,201501KF60960,539370.0,181500.0,0.007155,51.515239,1,3,1,1,2015-12-12,7,17:41,17,E09000025,3,13,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01033585,201201JC30452,1,1,1,1,29,6,3,0,0,0,0,0,19,1,London
1650199,201501KF60969,543820.0,183400.0,0.072017,51.531197,1,3,4,1,2015-12-12,7,16:51,17,E09000025,3,406,3,50,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01003623,201201JC30458,1,2,2,2,31,6,3,0,0,1,0,0,9,1,London
1650219,201501KF60995,538680.0,184400.0,-0.001642,51.541468,1,2,2,1,2015-12-13,1,04:00,17,E09000025,3,11,2,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01003617,201201JC30475,1,1,1,1,30,6,3,0,0,0,0,0,4,1,London
1650223,201501KF61000,539900.0,183400.0,0.015542,51.532181,1,3,2,1,2015-12-12,7,17:45,17,E09000025,3,112,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01003630,201201JC30478,1,1,1,1,34,6,3,0,0,0,0,0,5,1,London
1650725,201501KG70623,549080.0,184250.0,0.148153,51.537471,1,3,2,2,2015-12-12,7,16:40,16,E09000002,3,1240,6,30,6,4,6,0,0,1,4,1,1,0,0,1,1,E01000086,201201JI40305,1,1,1,1,28,6,3,0,0,0,0,0,3,1,London
1651857,201501LX51365,532310.0,171230.0,-0.09837,51.424643,1,3,1,1,2015-12-12,7,00:35,9,E09000022,4,232,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01003086,201201KD50580,1,1,2,1,49,8,3,0,0,1,0,0,9,1,London
1651859,201501LX51367,529590.0,176430.0,-0.135567,51.472002,1,3,3,2,2015-12-12,7,13:50,9,E09000022,3,3036,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01003089,201201KD50582,1,1,1,1,22,5,3,0,0,0,0,0,9,-1,London
1651860,201501LX51368,529410.0,176290.0,-0.138208,51.470785,1,3,2,1,2015-12-13,1,00:22,9,E09000022,3,3036,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01003091,201201KD50583,2,1,1,1,59,9,3,0,0,0,0,0,1,-1,London
1651878,201501LX51392,531230.0,178580.0,-0.11117,51.490946,1,3,1,1,2015-12-12,7,12:50,9,E09000022,3,23,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01003111,201201KD50606,1,1,1,2,37,7,3,0,0,0,0,0,9,1,London
1651890,201501LX51405,531100.0,174800.0,-0.114443,51.457007,1,2,1,1,2015-12-13,1,02:30,9,E09000022,3,204,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01003050,201201KF60003,1,1,1,1,33,6,3,0,0,0,0,0,9,1,London
1651921,201501LX51452,531910.0,171570.0,-0.103994,51.427792,1,3,3,1,2015-12-12,7,03:30,9,E09000022,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01003081,201201KF60028,1,1,1,1,29,6,3,0,0,0,0,0,9,1,London
1651930,201501LX51472,532000.0,174290.0,-0.101687,51.452214,1,3,1,2,2015-12-12,7,11:04,9,E09000022,3,2214,6,30,3,4,3,215,0,1,1,1,1,0,0,1,1,E01003074,201201KF60035,1,1,1,1,21,5,3,0,0,0,0,0,9,1,London
1651931,201501LX51473,531230.0,179890.0,-0.110683,51.502718,1,3,1,1,2015-12-13,1,14:45,9,E09000022,3,301,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01032582,201201KF60035,1,2,2,2,35,6,3,0,0,2,0,0,9,-1,London
1652720,201501MM71023,532530.0,176590.0,-0.093202,51.47276,1,3,2,1,2015-12-12,7,22:19,8,E09000028,3,215,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01003922,201201KF69027,2,1,1,1,30,6,3,0,0,0,0,0,9,1,London
1652721,201501MM71024,531940.0,178890.0,-0.100834,51.493567,1,3,1,1,2015-12-12,7,01:18,8,E09000028,3,3,3,30,1,4,3,3,0,0,4,1,1,0,0,1,1,E01003933,201201KF69051,1,1,1,1,63,9,3,0,0,0,0,0,9,1,London
1652750,201501MM71055,534370.0,178240.0,-0.066099,51.487154,1,3,2,1,2015-12-12,7,23:30,8,E09000028,4,204,6,30,6,2,5,0,0,5,4,1,2,0,0,1,1,E01004038,201201KG70018,2,2,1,1,24,5,3,0,0,0,0,0,9,1,London
1652751,201501MM71057,533400.0,178520.0,-0.079955,51.489899,1,3,2,1,2015-12-12,7,11:20,8,E09000028,3,2,6,30,3,2,6,0,0,5,1,8,2,0,0,1,1,E01003966,201201KG70020,1,1,1,1,32,6,3,0,0,0,0,0,9,1,London
1652756,201501MM71062,532960.0,174450.0,-0.087819,51.453428,1,3,2,1,2015-12-12,7,12:40,8,E09000028,3,2214,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,2,E01004070,201201KG70022,1,2,2,2,51,8,2,0,0,1,0,0,9,1,London
1652777,201501MM71088,533170.0,177580.0,-0.08362,51.481506,1,3,2,1,2015-12-12,7,23:14,8,E09000028,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01004012,201201KG70047,1,1,1,1,-1,-1,3,0,0,0,0,0,9,1,London
1652835,201501MM79207,533100.0,179100.0,-0.084055,51.495182,1,3,2,1,2015-12-13,1,20:10,8,E09000028,3,100,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01003941,201201KG70106,2,2,2,1,58,9,3,0,0,1,0,0,9,1,London
1653650,201501PL61000,539470.0,173060.0,0.005266,51.439373,1,3,2,1,2015-12-12,7,17:35,7,E09000023,5,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01003222,201201LX50392,2,1,1,1,24,5,3,0,0,0,0,0,3,1,London
1653664,201501PL61016,535230.0,172520.0,-0.055906,51.435547,1,3,3,1,2015-12-12,7,18:20,7,E09000023,3,2216,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01003256,201201LX50405,2,1,1,1,27,6,3,0,0,0,0,0,1,1,London
1653672,201501PL61029,535690.0,171270.0,-0.04977,51.424204,1,2,2,1,2015-12-12,7,11:41,7,E09000023,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01003327,201201LX50412,1,1,3,2,67,10,3,1,1,0,0,2,0,1,London
1653693,201501PL61056,538220.0,171820.0,-0.01319,51.428536,1,3,2,2,2015-12-13,1,02:30,7,E09000023,3,21,3,30,6,2,3,2218,0,5,4,1,1,0,0,1,1,E01003352,201201LX50435,2,1,1,1,27,6,3,0,0,0,0,0,1,1,London
1653709,201501PL69017,536630.0,172420.0,-0.035816,51.434313,1,3,3,2,2015-12-12,7,23:03,7,E09000023,3,212,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01003193,201201LX50452,2,1,1,1,29,6,3,0,0,0,0,0,3,-1,London
1653711,201501PL69026,539490.0,174170.0,0.005991,51.449342,1,3,2,1,2015-12-12,7,12:55,7,E09000023,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01003281,201201LX50454,1,1,1,2,44,7,3,0,0,0,0,0,9,1,London
1653718,201501PL69080,537330.0,175560.0,-0.024534,51.46236,1,3,1,1,2015-12-12,7,13:28,7,E09000023,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01003273,201201LX50458,1,1,1,1,29,6,3,0,0,0,0,0,1,1,London
1653722,201501PL69105,537420.0,176130.0,-0.023018,51.467461,1,2,2,1,2015-12-13,1,08:19,7,E09000023,3,20,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01003277,201201LX50463,2,1,1,2,50,8,3,0,0,0,0,0,1,1,London
1654469,201501PY20857,548180.0,162940.0,0.126272,51.346231,1,2,1,1,2015-12-12,7,12:00,19,E09000006,3,21,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01000680,201201MM70172,1,1,2,2,51,8,3,0,0,0,3,0,11,1,London
1654471,201501PY20859,546790.0,169210.0,0.108916,51.402931,1,3,2,1,2015-12-12,7,16:00,19,E09000006,6,0,1,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01000729,201201MM70174,1,1,1,1,31,6,3,0,0,0,0,0,1,1,London
1654499,201501PY20888,538330.0,166460.0,-0.013697,51.380343,1,3,2,1,2015-12-13,1,19:20,19,E09000006,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000832,201201MM70204,1,1,1,1,46,8,2,0,0,0,0,0,9,1,London
1654935,201501QA10516,515300.0,186420.0,-0.337949,51.564879,1,3,1,1,2015-12-12,7,22:05,29,E09000015,3,4005,2,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002134,201201MM70669,1,1,1,1,33,6,3,0,0,0,0,0,3,1,London
1654956,201501QA10541,515280.0,187900.0,-0.337753,51.578184,1,3,2,2,2015-12-13,1,20:30,29,E09000015,3,404,6,30,6,4,6,0,0,4,4,1,1,0,0,1,2,E01002129,201201MM70692,2,1,1,1,53,8,3,0,0,0,0,0,1,1,London
1655764,201501QK50930,521960.0,183470.0,-0.242934,51.536967,1,3,2,1,2015-12-12,7,18:25,28,E09000005,3,4000,6,30,3,4,6,0,0,0,4,4,1,0,0,1,1,E01000533,201201PL60438,1,1,1,1,42,7,3,0,0,0,0,0,5,1,London
1655767,201501QK50933,521280.0,184300.0,-0.252448,51.544573,1,3,2,1,2015-12-13,1,22:35,28,E09000005,3,407,6,30,3,2,6,0,0,5,4,1,2,0,0,1,1,E01000528,201201PL60442,1,1,1,2,39,7,3,0,0,0,0,0,9,1,London
1655778,201501QK50945,522110.0,184930.0,-0.240266,51.550056,1,3,2,1,2015-12-12,7,13:55,28,E09000005,3,4088,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000638,201201PL60450,2,4,1,2,19,4,3,0,0,0,0,0,9,1,London
1655810,201501QK50980,518740.0,189560.0,-0.287283,51.592386,1,3,1,1,2015-12-12,7,21:10,29,E09000015,3,4140,6,30,3,2,5,0,0,5,4,1,1,0,0,1,1,E01002169,201201PL60479,1,1,1,2,32,6,3,0,0,0,0,0,9,1,London
1655827,201501QK59016,521330.0,184250.0,-0.251744,51.544113,1,3,2,1,2015-12-13,1,14:11,28,E09000005,6,0,2,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000527,201201PL60490,1,1,1,1,24,5,3,0,0,0,0,0,1,1,London
1656486,201501RG49150,539420.0,179340.0,0.007022,51.495817,1,3,2,1,2015-12-12,7,09:20,6,E09000011,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01001667,201201PY20269,1,1,1,1,46,8,3,0,0,0,0,0,19,1,London
1656490,201501RG49163,540180.0,177040.0,0.017051,51.474962,1,3,1,1,2015-12-13,1,16:50,6,E09000011,4,212,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01001580,201201PY20271,1,1,3,2,48,8,3,5,1,0,0,2,0,-1,London
1656907,201501RY10480,547950.0,178950.0,0.129649,51.490147,1,3,1,1,2015-12-12,7,22:00,18,E09000004,4,213,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000418,201201PY20662,1,1,3,1,30,6,3,5,3,0,0,2,0,1,London
1656924,201501RY10498,551360.0,174700.0,0.17691,51.451059,1,3,2,2,2015-12-13,1,03:33,18,E09000004,3,207,2,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000378,201201PY20679,1,1,1,1,53,8,3,0,0,0,0,0,19,3,London
1657837,201501SX21142,521030.0,192780.0,-0.253131,51.620837,1,3,1,1,2015-12-13,1,16:10,30,E09000003,6,0,6,30,3,4,3,1,0,0,1,1,1,0,0,1,1,E01000264,201201QK50363,1,1,3,2,46,8,3,5,2,0,0,2,0,-1,London
1657856,201501SX21162,523040.0,187510.0,-0.225958,51.573041,1,3,2,1,2015-12-12,7,20:10,30,E09000003,3,406,7,40,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000307,201201QK50380,1,1,1,2,27,6,3,0,0,0,0,0,9,1,London
1657880,201501SX21186,525320.0,186580.0,-0.193407,51.564181,1,3,2,1,2015-12-13,1,17:40,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000136,201201QK50404,1,1,1,1,33,6,3,0,0,0,0,0,9,1,London
1657944,201501SX29036,524220.0,188210.0,-0.208692,51.579073,1,3,2,1,2015-12-13,1,09:58,30,E09000003,3,502,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000218,201201QK50466,1,1,2,2,10,2,3,0,0,0,4,0,11,1,London
1658094,201501TD00155,512270.0,179380.0,-0.383887,51.502215,1,1,1,2,2015-12-12,7,15:22,27,E09000009,6,0,6,30,3,4,6,0,0,1,1,4,1,0,0,1,1,E01001367,201201QK50614,1,1,2,2,35,6,3,0,0,0,3,0,11,1,London
1658452,201501TW60410,517570.0,169390.0,-0.310881,51.411352,1,3,1,1,2015-12-12,7,12:38,24,E09000027,3,308,6,30,3,2,3,310,0,5,1,1,1,0,0,2,1,E01003834,201201RG40165,2,1,1,2,37,7,3,0,0,0,0,0,9,1,London
1659282,201501TX20961,514530.0,174970.0,-0.352769,51.462126,1,3,2,1,2015-12-13,1,12:23,25,E09000018,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01002653,201201RY10286,2,1,1,1,14,3,3,0,0,0,0,0,1,1,London
1660138,201501VW40573,523510.0,167720.0,-0.226095,51.395082,1,3,2,1,2015-12-13,1,17:00,22,E09000024,4,279,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01003467,201201SX20643,1,1,2,2,71,10,3,0,0,0,3,0,11,1,London
1661117,201501WW51058,524380.0,174650.0,-0.211166,51.457173,1,3,2,1,2015-12-12,7,12:30,10,E09000032,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004507,201201TA00495,2,1,1,1,36,7,2,0,0,0,0,0,9,1,London
1661121,201501WW51063,526700.0,176500.0,-0.177129,51.473285,1,3,1,1,2015-12-13,1,12:40,10,E09000032,4,305,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01033099,201201TA00500,1,1,1,1,29,6,3,0,0,0,0,0,9,-1,London
1661134,201501WW51076,525910.0,173650.0,-0.189511,51.447848,1,3,2,1,2015-12-13,1,20:30,10,E09000032,3,217,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01004494,201201TA00514,1,3,3,2,12,3,3,10,9,0,0,2,0,1,London
