Date,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,city
2015-12-03,2015621502100,318744.0,177324.0,-3.171715,51.489003,62,3,2,1,5,20:03,741,W06000015,6,0,6,30,6,4,6,0,0,0,4,5,2,0,0,1,1,W01001832,Cardiff
2015-12-03,2015132C31238,445528.0,411124.0,-1.313594,53.594721,13,3,1,1,5,18:00,206,E08000036,4,6422,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01011871,Wakefield
2015-12-03,2015132C31216,414980.0,422797.0,-1.774575,53.701395,13,3,1,1,5,17:45,202,E08000033,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01010878,Calderdale
2015-12-03,2015460264712,563590.0,173160.0,0.352053,51.433825,46,2,2,1,5,16:07,535,E10000016,6,3504,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01024262,Gravesham
2015-12-03,2015132C31180,419145.0,431318.0,-1.710964,53.777846,13,2,2,1,5,17:40,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,5,2,0,0,1,1,E01010819,Bradford
2015-12-03,2015132C30765,427804.0,436351.0,-1.579119,53.822693,13,3,2,1,5,07:35,204,E08000035,3,660,2,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01011440,Leeds
2015-12-03,2015132C30590,426856.0,437568.0,-1.593413,53.833681,13,3,1,1,5,11:15,204,E08000035,3,660,3,40,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01011685,Leeds
2015-12-03,2015132C30311,411846.0,418475.0,-1.822209,53.662629,13,3,1,1,5,09:05,203,E08000034,6,0,6,20,0,-1,-1,0,0,1,1,1,2,0,0,1,2,E01011210,Kirklees
2015-12-03,2015551600258,390629.0,109201.0,-2.134577,50.882223,55,2,1,1,5,21:43,642,E10000009,3,354,6,30,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01020442,
2015-12-03,201543N237125,498693.0,182240.0,-0.578625,51.530454,43,3,2,1,5,19:47,477,E10000002,6,4,1,30,1,4,6,28,0,0,4,2,2,0,0,2,1,E01017832,
2015-12-03,2015132C30308,416332.0,432542.0,-1.753585,53.788943,13,3,2,2,5,09:20,200,E08000032,3,647,3,30,6,2,3,641,0,5,1,2,2,0,0,1,1,E01010730,Bradford
2015-12-03,201501FH10616,525860.0,175740.0,-0.189487,51.466642,1,3,2,1,5,08:35,11,E09000013,3,217,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01001938,London
2015-12-03,2015132C30219,430638.0,433341.0,-1.536368,53.795482,13,3,2,1,5,07:50,204,E08000035,6,0,2,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01033011,Leeds
2015-12-03,2015132C30152,417139.0,432995.0,-1.741311,53.792989,13,3,2,4,5,05:44,200,E08000032,3,647,3,30,0,-1,-1,0,0,5,4,2,2,0,0,1,1,E01010613,Bradford
2015-12-03,2015460264710,638490.0,164820.0,1.422244,51.332427,46,3,2,2,5,21:15,541,E10000016,4,2054,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01024667,Thanet
2015-12-03,2015460264644,604260.0,120750.0,0.906621,50.949982,46,3,2,1,5,19:19,539,E10000016,6,1713,6,30,6,4,6,0,0,0,4,1,1,0,0,2,1,E01024535,Folkestone and Hythe
2015-12-03,201501TX20957,512300.0,172970.0,-0.38549,51.444596,1,3,2,1,5,14:48,25,E09000018,3,314,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002611,London
2015-12-03,201501HT21218,534010.0,181430.0,-0.07007,51.515906,1,3,2,1,5,07:20,5,E09000030,3,11,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004309,London
2015-12-03,201550DE2T032,292814.0,89531.0,-3.518971,50.695517,50,3,2,1,5,07:22,581,E10000008,6,3123,1,30,1,4,6,0,0,0,4,8,2,0,0,2,1,E01019970,Exeter
2015-12-03,2015621502106,318315.0,180774.0,-3.178692,51.519955,62,3,2,1,5,14:48,741,W06000015,6,0,1,30,1,4,6,0,0,0,1,2,2,0,0,1,1,W01001732,Cardiff
2015-12-03,201501EO40875,530200.0,185490.0,-0.123446,51.553281,1,3,2,1,5,07:20,3,E09000019,3,503,6,30,9,2,3,5203,0,5,1,9,2,0,0,1,1,E01002764,London
2015-12-03,2015100740615,422094.0,563393.0,-1.656455,54.96468,10,3,2,1,5,08:20,147,E08000021,3,695,3,50,6,2,6,1562,0,0,1,1,1,0,0,1,2,E01008291,Newcastle upon Tyne
2015-12-03,201501TX20924,512790.0,175160.0,-0.377745,51.464183,1,3,1,1,5,08:10,25,E09000018,3,3063,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002647,London
2015-12-03,2015440420596,446195.0,112016.0,-1.344383,50.905775,44,3,2,1,5,18:30,500,E06000045,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01017257,Southampton
2015-12-03,2015100739415,414539.0,564132.0,-1.774415,54.971597,10,3,1,1,5,15:05,146,E08000020,4,6317,6,20,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01008245,Gateshead
2015-12-03,201501GD10946,534820.0,186190.0,-0.056582,51.558488,1,3,1,2,5,11:52,4,E09000012,3,107,6,30,1,2,5,0,0,5,1,1,1,0,0,1,1,E01001770,London
2015-12-03,2015220039459,352052.0,310661.0,-2.710839,52.691499,22,3,2,1,5,14:50,286,E06000051,3,5,3,60,0,-1,-1,0,0,0,1,1,2,0,0,2,2,E01028959,
2015-12-03,201501EO40861,532550.0,182440.0,-0.090719,51.525326,1,3,2,1,5,08:40,3,E09000019,3,5201,6,30,6,2,4,144,0,5,1,1,1,0,0,1,1,E01002704,London
2015-12-03,2015132C31277,409941.0,421091.0,-1.850955,53.686181,13,3,3,2,5,18:26,202,E08000033,4,6113,6,30,3,4,4,6114,0,0,4,2,2,0,0,2,1,E01010898,Calderdale
2015-12-03,2015331501946,440059.0,293637.0,-1.410803,52.539125,33,2,1,1,5,06:30,361,E10000018,3,47,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01025853,Hinckley and Bosworth
2015-12-03,2015450034756,533118.0,155645.0,-0.092582,51.284397,45,2,2,1,5,10:55,516,E10000030,6,1426,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01030848,
2015-12-03,2015480036379,533360.0,181750.0,-0.079311,51.518935,48,3,1,1,5,12:41,570,E09000001,3,10,6,20,3,4,5,0,0,4,1,1,1,0,0,1,1,E01004307,City of London
