Date,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,city
2015-12-03,2015480036037,532480.0,180810.0,-0.092339,51.510695,48,3,2,2,5,03:37,570,E09000001,3,3211,3,30,3,4,6,0,0,4,4,1,1,4,0,1,1,E01032739,City of London
2015-12-03,2015480035829,532440.0,180970.0,-0.092855,51.512142,48,3,2,1,5,09:30,570,E09000001,5,0,6,20,3,2,5,0,0,4,1,1,1,0,0,1,2,E01032739,City of London
2015-12-03,2015220040845,360002.0,223822.0,-2.582878,51.911485,22,3,1,1,5,15:30,285,E06000019,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01014062,
2015-12-03,2015460264769,556190.0,172170.0,0.245249,51.427017,46,2,2,1,5,07:17,532,E10000016,3,2,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01024135,Dartford
2015-12-03,2015480037275,533200.0,181440.0,-0.081732,51.516187,48,3,2,1,5,12:35,570,E09000001,3,10,6,20,6,2,3,1211,0,5,1,1,1,0,0,1,1,E01032739,City of London
2015-12-03,201543R034125,485949.0,179498.0,-0.762962,51.507886,43,3,2,2,5,18:00,474,E06000040,6,7417,6,30,0,-1,-1,0,0,0,4,2,2,0,0,2,2,E01016563,
2015-12-03,201514B112315,436136.0,403847.0,-1.456328,53.530045,14,2,3,1,5,16:35,210,E08000016,4,6100,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01007458,
2015-12-03,201501FH10647,522220.0,179280.0,-0.240639,51.499254,1,3,1,1,5,18:35,11,E09000013,3,402,6,30,0,-1,-1,0,0,1,4,2,2,0,0,1,1,E01001930,London
2015-12-03,201514B112115,431261.0,410610.0,-1.529194,53.591143,14,3,2,1,5,08:35,210,E08000016,6,0,6,30,3,4,6,0,0,0,1,9,1,0,0,2,2,E01007358,
2015-12-03,201501QA19008,511930.0,189780.0,-0.385478,51.595756,1,3,2,3,5,20:55,29,E09000015,3,404,6,30,8,4,6,0,0,0,4,2,2,0,0,1,1,E01002189,London
2015-12-03,2015460264811,551270.0,156450.0,0.167856,51.287103,46,3,1,1,5,20:09,538,E10000016,6,0,6,30,3,4,3,224,0,8,1,2,2,0,0,1,1,E01024423,Sevenoaks
2015-12-03,2015200038529,410346.0,286987.0,-1.849091,52.480711,20,3,1,1,5,11:00,300,E08000025,4,4128,9,30,0,-1,-1,0,0,0,1,9,1,0,0,1,2,E01033647,Birmingham
2015-12-03,201506E009239,385310.0,397090.0,-2.222767,53.470337,6,3,2,1,5,18:55,102,E08000003,3,6,1,30,1,4,3,6,0,0,5,2,2,0,0,1,2,E01005065,Manchester
2015-12-03,2015450034847,506099.0,173798.0,-0.474434,51.453233,45,3,3,1,5,11:52,40,E10000030,6,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01030746,Spelthorne
2015-12-03,2015220040827,397419.0,270557.0,-2.0393,52.333094,22,2,2,1,5,08:42,270,E10000034,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01033059,
2015-12-03,201501EK41076,527410.0,185030.0,-0.163832,51.549784,1,3,2,1,5,22:21,2,E09000007,3,502,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000849,London
2015-12-03,2015132C31250,431983.0,428389.0,-1.516462,53.750894,13,3,2,1,5,18:11,204,E08000035,1,1,3,50,0,-1,-1,0,0,0,4,2,2,0,0,2,1,E01011502,Leeds
2015-12-03,201501FH10625,522260.0,180080.0,-0.239786,51.506436,1,3,2,1,5,12:34,11,E09000013,3,4020,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01001860,London
2015-12-03,2015132C31320,426489.0,433249.0,-1.59936,53.794882,13,3,2,2,5,18:46,204,E08000035,6,0,6,30,0,-1,-1,0,0,0,4,5,2,0,0,1,1,E01032607,Leeds
2015-12-03,2015132C31335,426888.0,426039.0,-1.593928,53.730059,13,3,4,3,5,18:54,204,E08000035,1,62,3,70,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01011550,Leeds
2015-12-03,2015132C31377,421312.0,434068.0,-1.677892,53.802479,13,3,3,1,5,19:00,204,E08000035,3,647,3,70,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01011585,Leeds
2015-12-03,2015132C31378,404931.0,445990.0,-1.926424,53.910042,13,3,1,1,5,19:10,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,5,2,0,0,2,1,E01010642,Bradford
2015-12-03,2015132C31384,417026.0,428995.0,-1.743246,53.757041,13,3,2,1,5,19:15,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,6,2,2,0,0,1,1,E01010865,Bradford
2015-12-03,201511NI25085,416543.0,546477.0,-1.744117,54.812883,11,3,2,3,5,15:55,169,E06000047,4,6301,6,60,0,-1,-1,0,0,0,6,5,2,0,0,2,1,E01020664,
2015-12-03,201501EK41121,525830.0,183840.0,-0.187032,51.539444,1,3,1,1,5,16:00,2,E09000007,4,507,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,2,E01000929,London
2015-12-03,201511NI25145,414679.0,549303.0,-1.772978,54.838336,11,3,2,1,5,09:18,169,E06000047,3,691,6,60,3,4,6,0,0,0,1,4,2,0,0,2,2,E01020664,
2015-12-03,2015460264740,603940.0,159920.0,0.924215,51.301858,46,3,2,1,5,19:00,540,E10000016,3,2,1,50,1,4,6,0,0,0,7,4,1,0,0,2,2,E01024556,Swale
2015-12-03,2015450034871,506974.0,158083.0,-0.466574,51.311816,45,3,3,1,5,17:00,511,E10000030,3,3,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01030458,
2015-12-03,201501LX51395,530240.0,177890.0,-0.125676,51.484974,1,3,2,1,5,11:35,9,E09000022,3,3036,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01033208,London
2015-12-03,201501EK41083,528540.0,183440.0,-0.148124,51.535239,1,3,2,1,5,12:40,2,E09000007,6,0,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01000948,London
2015-12-03,201501EK41080,526370.0,185760.0,-0.178561,51.556578,1,3,2,1,5,07:22,2,E09000007,4,511,6,30,6,2,3,502,0,5,1,1,1,0,0,1,1,E01000895,London
2015-12-03,2015460264713,555680.0,173750.0,0.238613,51.441353,46,3,2,2,5,17:20,532,E10000016,3,282,3,50,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01024163,Dartford
2015-12-03,2015460264624,577740.0,166903.0,0.552278,51.373362,46,3,2,2,5,16:11,544,E06000035,6,0,6,30,8,4,3,2,0,5,4,8,1,0,0,1,1,E01016174,
2015-12-03,2015460264609,571555.0,168943.0,0.464489,51.393589,46,3,2,2,5,09:26,544,E06000035,6,0,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01016155,
2015-12-03,2015460264613,622640.0,136530.0,1.177558,51.084861,46,2,1,1,5,16:40,539,E10000016,3,2033,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01024502,Folkestone and Hythe
2015-12-03,201501YR99018,533480.0,189930.0,-0.07448,51.592415,1,3,2,1,5,18:11,31,E09000014,6,0,6,20,3,4,6,0,0,0,4,2,2,0,0,1,1,E01001981,London
2015-12-03,2015520600203,361647.0,143423.0,-2.550172,51.188736,52,3,1,1,5,18:04,606,E10000027,4,3136,6,30,1,4,3,371,0,0,4,2,2,0,0,1,1,E01029066,Mendip
2015-12-03,2015521603059,357329.0,168547.0,-2.614967,51.414325,52,2,1,1,5,18:30,601,E06000023,6,0,6,30,0,-1,-1,0,0,0,4,5,2,0,0,1,1,E01014600,Bristol
2015-12-03,2015520600214,353869.0,118959.0,-2.658329,50.968191,52,3,2,1,5,19:06,610,E10000027,3,37,6,60,3,4,6,0,0,0,4,5,2,0,0,2,1,E01029251,South Somerset
2015-12-03,2015200036968,404076.0,284071.0,-1.941447,52.454578,20,3,2,1,5,07:40,300,E08000025,6,0,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,2,E01033562,Birmingham
2015-12-03,2015200037023,406988.0,292144.0,-1.898428,52.527125,20,3,2,1,5,18:42,300,E08000025,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01009239,Birmingham
2015-12-03,2015100748215,435067.0,572494.0,-1.452733,55.045719,10,3,1,1,5,16:25,148,E08000022,5,204,6,30,6,2,6,2193,0,5,4,2,2,0,0,1,1,E01008586,North Tyneside
2015-12-03,201550KH3F001,322217.0,103437.0,-3.105706,50.825227,50,3,2,2,5,11:46,580,E10000008,6,0,6,30,6,4,6,0,0,0,1,7,2,0,0,2,1,E01019938,East Devon
2015-12-03,2015100747615,437376.0,554973.0,-1.418875,54.888112,10,3,2,1,5,19:55,150,E08000024,3,690,3,30,7,2,4,1405,0,5,4,5,2,0,0,1,1,E01008828,Sunderland
2015-12-03,2015100746015,436818.0,563387.0,-1.426499,54.96376,10,3,2,1,5,21:27,149,E08000023,5,418,6,30,3,4,6,3042,0,0,4,2,2,0,0,1,1,E01008688,South Tyneside
2015-12-03,2015100745315,435014.0,572595.0,-1.45355,55.04663,10,3,1,1,5,17:05,148,E08000022,5,206,6,30,3,4,6,2192,0,0,4,2,2,0,2,1,1,E01008520,North Tyneside
2015-12-03,201501MM79081,534490.0,176020.0,-0.065216,51.467176,1,3,1,1,5,16:23,8,E09000028,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01004068,London
2015-12-03,201501GD10971,531720.0,186730.0,-0.101071,51.564072,1,3,2,1,5,16:44,4,E09000012,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01001718,London
2015-12-03,2015220039281,403807.0,267507.0,-1.945588,52.305668,22,3,1,1,5,17:20,274,E10000034,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01032238,
2015-12-03,201514C132515,453133.0,382968.0,-1.203452,53.340953,14,3,2,1,5,15:05,213,E08000018,3,57,6,50,0,-1,-1,0,0,0,1,4,1,0,0,2,1,E01007664,Rotherham
2015-12-03,201501MM71051,534360.0,174900.0,-0.067511,51.457142,1,3,1,1,5,11:38,8,E09000028,4,219,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01004015,London
2015-12-03,2015200036398,397411.0,299369.0,-2.039651,52.592113,20,3,1,1,5,19:18,307,E08000030,3,462,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01010376,
2015-12-03,201531D269915,458119.0,337585.0,-1.136789,52.93253,31,3,1,1,5,07:00,347,E10000024,3,60,6,30,3,2,4,679,0,5,4,1,1,0,0,1,1,E01028417,
2015-12-03,201531D256215,459587.0,330314.0,-1.116282,52.867016,31,2,1,1,5,14:05,347,E10000024,6,0,6,60,0,-1,-1,0,0,0,1,1,2,0,2,2,1,E01028409,Rushcliffe
2015-12-03,201531D258715,465223.0,328276.0,-1.032979,52.848046,31,1,1,3,5,22:35,347,E10000024,3,46,3,70,0,-1,-1,0,0,0,6,5,5,0,3,2,1,E01028402,Rushcliffe
2015-12-03,2015200036087,402054.0,279642.0,-1.971227,52.414772,20,3,1,1,5,17:35,300,E08000025,6,0,2,30,3,4,6,0,0,0,4,9,1,0,0,1,2,E01009219,Birmingham
2015-12-03,201501MM71011,533800.0,174900.0,-0.075567,51.457274,1,3,1,1,5,18:10,8,E09000028,3,2216,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01003952,London
2015-12-03,201501YR90987,531140.0,187110.0,-0.109292,51.567622,1,3,2,1,5,08:20,3,E09000019,3,1201,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002735,London
2015-12-03,2015521600584,333421.0,160387.0,-2.957172,51.338656,52,2,2,1,5,15:15,605,E06000024,3,370,6,40,1,2,6,0,0,4,1,1,2,0,0,1,1,E01014809,
2015-12-03,2015200036093,407094.0,289035.0,-1.896931,52.499174,20,3,2,2,5,17:45,300,E08000025,3,34,3,30,3,4,4,4144,0,0,4,1,2,0,0,1,2,E01008913,Birmingham
2015-12-03,201531D262815,463596.0,342976.0,-1.054261,52.980365,31,3,2,1,5,15:30,343,E10000024,3,612,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01028148,Gedling
2015-12-03,2015170M13115,448942.0,520519.0,-1.24437,54.57752,17,3,2,1,5,11:45,243,E06000002,3,66,7,50,1,4,4,1272,0,0,1,2,2,0,0,1,2,E01033468,
2015-12-03,2015230040083,428761.0,265482.0,-1.579786,52.286728,23,2,2,2,5,17:27,294,E10000031,3,429,6,30,3,4,6,0,0,0,4,5,2,0,0,1,1,E01031319,
2015-12-03,2015230040158,431997.0,265914.0,-1.532307,52.290434,23,3,2,2,5,16:35,294,E10000031,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,2,E01033253,
2015-12-03,2015200036271,398265.0,298273.0,-2.027038,52.582264,20,3,2,1,5,20:00,307,E08000030,3,454,7,50,5,4,6,0,0,0,4,2,2,0,0,1,2,E01010261,
2015-12-03,201550GA2Q036,202445.0,52004.0,-4.777359,50.334756,50,3,3,2,5,11:50,596,E06000052,3,390,6,30,0,-1,-1,0,0,0,1,8,2,0,0,1,1,E01019043,
2015-12-03,201501QA19042,516890.0,190220.0,-0.313757,51.598704,1,3,2,2,5,09:08,29,E09000015,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002111,London
2015-12-03,201501SX21211,521490.0,188690.0,-0.247905,51.583981,1,3,2,1,5,07:05,30,E09000003,3,5,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01000312,London
2015-12-03,201501HT21100,536570.0,183350.0,-0.032455,51.532546,1,3,2,1,5,23:00,5,E09000030,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01004228,London
2015-12-03,2015300017093,433470.0,336960.0,-1.503545,52.929009,30,3,2,1,5,07:15,323,E06000015,3,38,1,30,1,2,3,52,0,0,4,1,2,0,0,2,2,E01013522,Derby
2015-12-03,2015300017332,409300.0,399960.0,-1.861282,53.496262,30,3,2,2,5,01:00,325,E10000007,3,628,6,60,0,-1,-1,0,0,0,6,2,2,6,0,2,1,E01019763,High Peak
2015-12-03,201501HT21142,533700.0,182370.0,-0.074178,51.524426,1,3,1,1,5,23:35,5,E09000030,6,0,6,20,6,4,4,122,0,0,4,2,2,0,0,1,1,E01004317,London
2015-12-03,2015450035103,503083.0,138745.0,-0.527935,51.138706,45,3,2,2,5,18:27,517,E10000030,3,281,6,40,3,2,4,2130,0,0,4,1,1,0,0,2,1,E01030862,Waverley
2015-12-03,2015450035101,514099.0,162471.0,-0.362987,51.349873,45,3,2,1,5,07:00,510,E10000030,3,244,1,40,1,4,3,3,0,0,7,1,1,0,0,2,1,E01030309,Elmbridge
2015-12-03,2015450035072,531630.0,140821.0,-0.119343,51.151518,45,3,1,1,5,04:15,516,E10000030,4,2037,6,40,9,4,6,0,0,0,6,1,1,0,0,2,1,E01030819,
2015-12-03,201501GD10954,533540.0,184970.0,-0.075498,51.547828,1,3,1,1,5,13:12,4,E09000012,3,10,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01033699,London
2015-12-03,201501HT21189,534420.0,182620.0,-0.063711,51.526502,1,3,2,1,5,23:50,5,E09000030,3,1209,6,20,3,4,6,0,0,0,4,2,2,0,0,1,1,E01004211,London
2015-12-03,201501YR90934,533790.0,189780.0,-0.070065,51.590993,1,3,2,1,5,14:00,31,E09000014,3,10,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01001979,London
2015-12-03,2015331502009,458167.0,302202.0,-1.142347,52.614485,33,3,3,1,5,07:25,364,E06000016,3,426,6,30,3,4,6,47,0,4,4,8,2,0,0,1,1,E01013687,Leicester
2015-12-03,2015220035458,378770.0,245618.0,-2.311403,52.108478,22,3,2,1,5,17:15,273,E10000034,4,4208,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,2,E01032186,Malvern Hills
2015-12-03,2015331502004,474079.0,302817.0,-0.907241,52.618079,33,3,2,1,5,09:55,363,E10000018,3,47,6,50,8,4,6,6,0,0,1,1,2,0,0,2,1,E01025815,Harborough
2015-12-03,201501HT21190,538360.0,180220.0,-0.007893,51.503985,1,3,2,5,5,16:10,5,E09000030,3,1206,6,20,3,4,6,0,0,0,4,1,1,0,0,1,1,E01032780,London
2015-12-03,201501GD10949,532310.0,186720.0,-0.092568,51.563844,1,3,2,1,5,06:22,4,E09000012,3,105,6,20,6,2,4,105,0,5,4,1,1,0,0,1,1,E01001719,London
2015-12-03,2015551600203,366726.0,78621.0,-2.471574,50.60635,55,3,2,1,5,16:06,646,E10000009,4,3157,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01020577,
2015-12-03,2015460264608,588990.0,165090.0,0.712759,51.353449,46,2,2,2,5,12:15,540,E10000016,3,249,7,70,5,4,6,0,0,0,1,1,1,0,0,2,1,E01024568,Swale
2015-12-03,201506E009570,387130.0,395150.0,-2.195269,53.452948,6,3,1,1,5,20:40,102,E08000003,3,6,6,30,0,-1,-1,0,0,4,4,2,2,0,0,1,2,E01005234,Manchester
2015-12-03,2015331501989,460923.0,301961.0,-1.101692,52.612017,33,3,2,1,5,17:15,364,E06000016,3,6,6,30,6,4,6,596,0,4,4,1,1,0,0,1,2,E01013712,Leicester
2015-12-03,2015530057224,385428.0,204713.0,-2.212442,51.740928,53,2,2,3,5,21:31,624,E10000013,3,419,6,40,0,-1,-1,0,0,0,4,4,2,0,0,1,1,E01022365,
2015-12-03,2015460264621,589330.0,133340.0,0.700892,51.068162,46,3,1,1,5,14:00,530,E10000016,6,2802,6,30,6,4,6,0,0,0,1,1,1,0,0,2,1,E01024026,Ashford
2015-12-03,201550BS2G039,239218.0,60576.0,-4.264775,50.422978,50,3,2,1,5,16:27,596,E06000052,3,38,6,50,0,-1,-1,0,0,0,6,5,2,0,0,2,1,E01018787,
2015-12-03,201501EO40948,531980.0,184820.0,-0.098039,51.546847,1,2,2,1,5,16:30,3,E09000019,3,1199,6,30,3,4,6,0,0,5,4,1,1,0,0,1,1,E01002719,London
2015-12-03,201501GD10970,536610.0,185410.0,-0.03108,51.551048,1,3,2,1,5,22:00,4,E09000012,4,112,6,20,6,2,5,0,0,5,4,5,2,0,0,1,1,E01001846,London
2015-12-03,201550KE3G008,306368.0,81902.0,-3.325191,50.629272,50,3,1,1,5,10:40,580,E10000008,4,3178,6,30,6,4,6,0,0,0,1,1,1,0,0,2,1,E01019896,East Devon
2015-12-03,2015551501479,384271.0,86551.0,-2.223978,50.678403,55,3,1,1,5,08:30,644,E10000009,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01020492,
2015-12-03,201501EO49009,530620.0,185820.0,-0.11727,51.55615,1,3,2,2,5,09:40,3,E09000019,3,1,3,30,3,2,3,503,0,5,1,1,1,0,0,1,1,E01002763,London
2015-12-03,2015230040931,429580.0,286075.0,-1.565969,52.471813,23,3,1,1,5,16:55,290,E10000031,6,0,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01031027,North Warwickshire
2015-12-03,2015551501482,411200.0,94621.0,-1.842605,50.751084,55,3,1,1,5,12:25,640,E06000028,3,3060,6,30,3,4,6,0,0,1,1,8,1,0,0,1,1,E01015339,
2015-12-03,2015450035176,510345.0,138494.0,-0.424252,51.135098,45,3,2,1,5,09:45,517,E10000030,5,48,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01030880,Mole Valley
2015-12-03,201501CW11826,529560.0,179060.0,-0.135035,51.495644,1,2,1,1,5,11:50,1,E09000033,6,0,2,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004744,City of Westminster
2015-12-03,2015331502154,456867.0,302831.0,-1.161437,52.620277,33,3,2,2,5,17:42,364,E06000016,5,1771,6,30,6,4,5,1746,0,4,4,2,2,0,0,1,1,E01013633,Leicester
2015-12-03,201504WB15442,347580.0,437750.0,-2.797989,53.833349,4,3,1,1,5,20:48,85,E10000017,6,0,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01025280,Wyre
2015-12-03,201501GD10965,533420.0,182750.0,-0.078068,51.527907,1,3,2,1,5,19:25,4,E09000012,3,10,6,20,3,4,6,0,0,0,4,2,2,0,0,1,1,E01033706,London
