,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
16,2015-12-17,1450310400,60.5,53.9,56.7,60.5,53.9,56.7,49.3,76.82,0.01,,8.33,,,,27.7,12.3,207.5,1016.6,5.3,10.7,,,,08:01:03,1450339263,15:51:49,1450367509,0.19,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
17,2015-12-18,1450396800,56.9,53.0,54.9,56.9,53.0,54.9,49.4,81.87,0.0,,8.33,,,,28.9,10.3,211.1,1018.3,4.3,10.6,,,,08:01:46,1450425706,15:52:05,1450453925,0.24,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
18,2015-12-19,1450483200,61.1,56.0,58.7,61.1,56.0,58.7,51.7,78.03,0.0,,4.17,,,,34.4,11.0,197.2,1012.4,2.4,12.8,,,,08:02:27,1450512147,15:52:24,1450540344,0.3,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
19,2015-12-20,1450569600,58.7,49.3,54.5,58.7,49.3,54.5,47.1,76.22,0.08,,8.33,,,,33.3,0.1,211.8,1010.7,0.4,13.7,,,,08:03:04,1450598584,15:52:47,1450626767,0.35,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
20,2015-12-21,1450656000,54.8,46.1,50.3,54.8,46.1,50.3,44.6,81.06,0.09,,16.67,,,,40.5,0.2,220.0,1014.8,0.3,16.3,,,,08:03:38,1450685018,15:53:14,1450713194,0.4,Rain,Clear conditions throughout the day with rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
21,2015-12-22,1450742400,59.6,51.5,56.7,59.6,51.5,56.7,51.8,83.93,0.04,,12.5,,,,43.9,0.2,219.0,1013.1,0.6,11.5,,,,08:04:09,1450771449,15:53:43,1450799623,0.45,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
22,2015-12-23,1450828800,53.3,48.5,51.3,53.3,48.5,51.3,42.8,73.12,0.16,,12.5,,,,31.6,0.1,219.0,1018.7,0.3,14.3,,,,08:04:37,1450857877,15:54:16,1450886056,0.48,Rain,Clear conditions throughout the day with early morning rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
23,2015-12-24,1450915200,55.5,44.3,50.4,55.5,40.8,50.2,42.1,73.1,0.08,,12.5,,,,41.1,15.6,218.7,1013.3,0.5,17.5,,,,08:05:01,1450944301,15:54:52,1450972492,0.49,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
24,2015-12-25,1451001600,58.4,42.5,50.8,58.4,42.5,50.8,45.8,83.22,0.01,,8.33,,,,36.3,0.1,200.5,1019.8,0.5,11.6,,,,08:05:22,1451030722,15:55:32,1451058932,0.5,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
25,2015-12-26,1451088000,59.6,56.0,58.3,59.6,56.0,58.3,50.5,75.34,0.02,,12.5,,,,37.3,15.1,222.5,1018.3,4.0,12.4,,,,08:05:40,1451117140,15:56:14,1451145374,0.51,Rain,Clear conditions throughout the day with rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
26,2015-12-27,1451174400,58.4,54.8,57.3,58.4,54.8,57.3,52.2,83.1,0.0,,4.17,,,,38.0,0.1,212.9,1020.2,0.6,6.4,,,,08:05:54,1451203554,15:57:00,1451231820,0.53,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
27,2015-12-28,1451260800,59.1,49.7,53.1,59.1,49.7,53.1,44.7,73.86,0.0,,0.0,,,,33.3,0.1,145.4,1017.0,0.2,13.5,,,,08:06:05,1451289965,15:57:49,1451318269,0.55,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
28,2015-12-29,1451347200,54.8,49.4,52.0,54.8,49.4,52.1,45.8,79.49,0.08,,12.5,,,,28.9,12.5,191.0,1017.9,0.4,15.6,,,,08:06:13,1451376373,15:58:40,1451404720,0.59,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
29,2015-12-30,1451433600,56.4,50.3,54.1,56.4,50.3,54.1,44.6,71.26,0.0,,8.33,,,,41.5,0.2,185.5,1011.0,0.6,13.8,,,,08:06:18,1451462778,15:59:35,1451491175,0.63,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
30,2015-12-31,1451520000,51.9,43.4,48.3,51.9,43.4,48.3,39.9,73.16,0.39,,12.5,,,,38.4,12.3,223.1,1012.1,0.2,16.9,,,,08:06:18,1451549178,16:00:33,1451577633,0.67,Rain,Clear conditions throughout the day with rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
